case_id,product_name,platform,app_caption,baseline_caption,generation_mode,generation_provider,generation_model,generation_latency_ms,app_judge_overall,app_judge_relevance,app_judge_platform_fit,app_judge_clarity,app_judge_persuasiveness,app_judge_brand_voice,app_judge_safety,app_judge_strengths,app_judge_weaknesses,baseline_judge_overall,baseline_judge_relevance,baseline_judge_platform_fit,baseline_judge_clarity,baseline_judge_persuasiveness,baseline_judge_brand_voice,baseline_judge_safety,baseline_judge_strengths,baseline_judge_weaknesses,judge_overall_delta
case_01_glownest_launch,GlowNest Vitamin C Serum,Instagram,"Morning routine upgrade: GlowNest Vitamin C Serum. Get that fresh, bright glow with lightweight hydration. Shop now.",Start your day with GlowNest Vitamin C Serum for brighter-looking skin and lightweight hydration. Shop now.,live,gemini,gemini-2.5-flash,7059.03,4,5,4,5,4,5,5,"The caption is concise, clearly communicates key benefits, and aligns perfectly with the brand voice and safety requirements.","While effective, the caption could be slightly more engaging for the target audience by adding a touch more personality or a relatable hook.",4,5,4,5,3,5,5,"The caption is concise and clearly communicates the key benefits of the product, aligning perfectly with the brand voice and safety guidelines.",The caption could be more persuasive by adding a stronger hook or emotional appeal to better resonate with the target audience.,0.0
case_02_clearpatch_finals,ClearPatch Overnight Acne Patches,TikTok,"Exam stress is enough. Give your skin a little break with ClearPatch. Low effort, big relief for your overnight routine. Tap to shop.","Late nights, early classes, and ClearPatch by your side. Easy overnight spot coverage when you need a low-effort reset. Tap to shop.",live,gemini,gemini-2.5-flash,8268.74,4,5,4,5,4,5,5,"The caption effectively connects exam stress to the product's benefits and uses a playful, relatable tone perfect for the target audience and platform.","While good, the caption could be slightly more dynamic to fully capture TikTok's fast-paced energy.",4,5,4,5,4,5,5,The caption effectively highlights the key benefits of the product in a way that is highly relevant to the target audience's current situation.,"While good, the caption could be slightly more engaging or use more platform-native language to achieve a perfect score.",0.0
case_03_softshield_spf,SoftShield SPF Mist,Instagram,"Sun protection just got an upgrade. SoftShield SPF Mist: your on-the-go refresh. Lightweight, easy. Learn more.","For commutes, errands, and weekends outside, SoftShield SPF Mist keeps reapplication easy without the heavy feel. Learn more.",live,gemini,gemini-2.5-flash,7041.5,4,4,4,5,3,4,5,The caption is concise and clearly communicates the core benefits of the product.,The caption could be more persuasive by elaborating slightly on the 'on-the-go refresh' and its benefits for the target audience.,4,5,5,5,3,5,5,"The caption is highly relevant, clear, and perfectly matches the brand voice and platform.",The caption could be more persuasive by adding a stronger hook or benefit-driven language before the CTA.,0.0
case_04_cloudcalm_moisture,CloudCalm Moisture Cream,Instagram,"Experience refined comfort. CloudCalm Moisture Cream provides exquisite, gentle hydration, supporting sensitive skin through a serene nightly ritual. Discover more.","When skin feels stressed, CloudCalm Moisture Cream adds a gentle layer of comfort without overcomplicating your routine. Discover more.",live,gemini,gemini-2.5-flash,7685.11,5,5,5,5,4,5,5,The caption perfectly captures the brand voice and highlights the key benefits of the product in a concise and elegant way.,The persuasive language could be slightly stronger to encourage immediate action beyond the required CTA.,5,5,5,5,4,5,5,"The caption is concise, on-brand, and directly addresses the product benefits and target audience's needs.",The persuasive element could be slightly stronger by hinting at the emotional benefit of a calm skin routine.,0.0
case_05_moonsilk_night,MoonSilk Night Cream,Instagram,"Your evening, elevated. MoonSilk Night Cream transforms your routine into a luxurious ritual for smoother-feeling skin. Shop now.",MoonSilk Night Cream turns your evening routine into a more luxurious ritual with rich overnight nourishment. Shop now.,live,gemini,gemini-2.5-flash,5432.45,5,5,5,5,4,5,5,"The caption perfectly aligns with the brief, hitting all key benefits and brand voice elements.",The call to action could be slightly more evocative to better match the luxurious tone.,4,5,4,5,4,5,5,"The caption effectively highlights the key benefits of overnight nourishment and a luxurious ritual, aligning perfectly with the target audience and brand voice.","While clear and on-brand, the caption could be more persuasive by adding a slightly stronger emotional hook or benefit-driven language before the CTA.",1.0
case_06_dewdrop_retinol,DewDrop Retinol Serum,Instagram,Ready for a smoother you? DewDrop Retinol Serum makes starting easy. A gentle touch for your skin's overnight renewal. You deserve this self-care moment. Shop now.,New to retinol? DewDrop Retinol Serum is formulated gently for beginners who want smoother-feeling skin without the guesswork. Shop now.,live,gemini,gemini-2.5-flash,6360.2,5,5,5,5,4,5,5,"The caption effectively highlights the key benefits of the DewDrop Retinol Serum, such as its gentle, beginner-friendly nature and overnight renewal, aligning perfectly with the brief.","While persuasive, the caption could be strengthened with a more specific emotional hook or a clearer articulation of the 'smoother you' benefit.",5,5,5,5,4,5,5,"The caption is highly relevant, perfectly tailored to the platform and brand voice, and clearly communicates the product's key benefits for beginners.",The persuasive element could be slightly stronger by adding a more evocative benefit or addressing a common beginner concern.,0.0
case_07_freshmist_toner,FreshMist Hydrating Toner Mist,TikTok,"POV: You just found your new favorite routine enhancer. FreshMist for instant glow, anytime, anywhere. So versatile! Grab yours!","Layer it, spray it, refresh it. FreshMist Toner Mist works with any skincare routine for an on-the-go hydration hit. Grab yours.",live,gemini,gemini-2.5-flash,6752.61,4,4,5,5,4,5,5,"The caption is energetic, uses platform-native language like 'POV', and clearly highlights key benefits in a concise way.","While persuasive, it could be slightly more specific about *how* it enhances routines beyond just 'instant glow' to better appeal to multi-step routine enthusiasts.",5,5,5,5,4,5,5,"The caption is concise, energetic, and perfectly aligned with the brand voice and platform.",The CTA could be more compelling by adding a sense of urgency or a specific benefit.,-1.0
case_08_velveteye_cream,VelvetEye Brightening Eye Cream,Instagram,"Elevate your morning ritual. VelvetEye's gentle formula helps diminish the look of puffiness, revealing a refined, refreshed gaze. Shop now.",Start your morning with VelvetEye — a gentle brightening formula that helps your eyes look as rested as you feel. Shop now.,live,gemini,gemini-2.5-flash,6187.74,5,5,5,5,4,5,5,The caption perfectly aligns with the brand voice and highlights the key benefits in a concise and aspirational way.,The persuasive element could be slightly stronger by more directly addressing the target audience's pain points.,4,4,5,5,3,5,5,"The caption is concise, on-brand, and clearly communicates the product's gentle nature and morning routine benefit.",The caption could be more persuasive by elaborating on the aspirational aspect for the target audience and the specific feeling of being refreshed.,1.0
case_09_glowave_mask,GloWave Brightening Glow Mask,TikTok,Unapologetically bold. GloWave mask brings a luxurious exfoliating feel to your weekend ritual. Get your glow on. Tap to shop.,It's mask day. GloWave Brightening Glow Mask brings a bold glow ritual to your weekly self-care lineup. Tap to shop.,live,gemini,gemini-2.5-flash,7826.99,4,4,4,5,4,5,5,The caption effectively incorporates the brand's bold voice and highlights key benefits like the exfoliating feel and weekend ritual.,"While good, it could be slightly more engaging for TikTok by adding a touch more personality or a question to encourage interaction.",4,4,4,5,3,4,5,"The caption clearly highlights the product and its role in a weekly self-care ritual, fitting the brand voice well.",The caption could be more persuasive by elaborating on the 'bold glow' or 'exfoliating feel' to better engage the target audience.,0.0
case_10_softcloud_body,SoftCloud Nourishing Body Lotion,Instagram,"Elevate your daily ritual. SoftCloud Nourishing Body Lotion delivers luxurious, fast-absorbing hydration for enduring comfort. Shop now.","Make your daily routine feel better. SoftCloud Body Lotion is lightweight, non-greasy, and made for everyday softness. Shop now.",live,gemini,gemini-2.5-flash,5744.91,5,5,5,5,4,5,5,"The caption is concise, highlights key benefits, and perfectly matches the brand voice and platform.",The persuasive hook could be slightly stronger to encourage immediate action.,5,5,5,5,4,5,5,"The caption is concise, clearly communicates key benefits, and perfectly matches the brand voice and platform.",The persuasive hook could be slightly stronger to encourage immediate action.,0.0
